Time,OER,Perm,CO,H2,CO2,SWS,OEF,CAF,WP,BGC,BGI,TCT,TP1,TP2,TP3,TP4,OEP,CWP1,CWP2,TPD,HWP1,HWP2,AWS,CWT,HWT,TTEN,TTWS,TTWN,TTES,TTDT,DC,BT,Set_CI,Actual_CI,Last_CI,Label
2017-11-01 00:00:05,3.73938,18.972,24.75,1.96,21.81,248,15014,29.361,132,6921,70.25,2284,223.6,223.6,223.6,223.6,1.579,0.3941,0.3908,154.3,0.3779,0.374,271,192.9,1174.7,177.8,207.0,168.7,208.4,145.2,2.752,8.667,43.0,41.31,43.03,0.0
2017-11-01 00:00:15,3.72439,19.33,24.75,1.96,21.81,249,14919,29.359,133,6930,70.35,2283,225.2,225.2,225.3,225.3,1.58,0.3932,0.3899,151.9,0.3773,0.3735,272,192.9,1174.3,176.3,205.0,168.2,206.8,145.7,2.708,8.667,43.0,41.4,43.03,0.0
2017-11-01 00:00:26,3.56873,19.677,24.75,1.96,21.81,248,14263,29.305,133,6898,70.02,2271,227.9,227.9,227.8,227.8,1.583,0.3925,0.3892,148.8,0.3768,0.373,272,192.8,1174.0,173.7,201.7,166.7,204.3,145.7,2.683,8.667,43.0,41.53,43.03,0.0
2017-11-01 00:00:36,3.56129,20.01,24.72,1.97,21.81,248,14274,29.317,133,6897,70.01,2272,229.9,229.9,229.9,229.9,1.584,0.3921,0.3888,146.4,0.3762,0.3724,272,192.8,1173.8,171.2,198.7,165.0,201.7,145.4,2.643,8.667,43.0,41.64,43.03,0.0
2017-11-01 00:00:47,3.56083,20.183,24.72,1.97,21.84,248,14241,29.305,132,6893,69.96,2271,231.4,231.4,231.4,231.4,1.585,0.3921,0.3888,145.0,0.3764,0.3728,272,192.8,1173.8,168.6,196.0,163.1,198.8,144.7,2.632,8.667,43.0,41.77,43.03,0.0
2017-11-01 00:00:57,3.56559,20.08,24.68,1.97,21.85,248,14258,29.25,131,6881,69.84,2270,231.1,231.1,231.0,231.0,1.586,0.3923,0.389,145.5,0.3766,0.3729,271,192.8,1173.6,166.8,194.3,161.5,196.4,143.9,2.647,8.667,43.0,41.86,43.03,0.0
2017-11-01 00:01:07,3.56906,19.792,24.69,1.98,21.84,247,14226,29.089,130,6853,69.56,2269,229.9,229.9,229.9,229.9,1.587,0.3926,0.3893,147.0,0.3769,0.3731,270,192.8,1173.1,165.2,193.0,160.0,194.1,143.2,2.685,8.667,43.0,42.09,43.03,0.0
2017-11-01 00:01:17,3.56958,19.805,24.68,1.98,21.84,248,14261,29.265,132,6884,69.88,2270,229.0,229.0,228.9,228.9,1.588,0.3924,0.3891,147.6,0.3766,0.3729,271,192.8,1173.1,163.9,192.0,158.6,192.0,142.5,2.673,8.667,43.0,42.19,43.03,0.0
2017-11-01 00:01:27,3.59104,19.677,24.68,1.98,21.84,247,14304,29.192,130,6868,69.71,2271,228.3,228.3,228.3,228.3,1.589,0.3924,0.3891,148.3,0.3767,0.3729,270,192.8,1173.1,162.8,191.5,157.4,190.3,141.9,2.693,8.667,43.0,42.27,43.03,0.0
2017-11-01 00:01:38,3.60548,19.585,24.65,1.98,21.81,247,14360,29.116,130,6862,69.65,2271,228.0,228.0,228.0,228.0,1.589,0.3923,0.389,148.6,0.3766,0.3727,270,192.8,1172.8,162.1,191.4,156.3,188.6,141.5,2.699,8.667,43.0,42.38,43.03,0.0
2017-11-01 00:01:48,3.5768,19.676,24.65,1.99,21.84,247,14294,29.15,131,6868,69.71,2270,227.9,227.9,227.8,227.8,1.59,0.3918,0.3885,148.1,0.376,0.3722,271,192.8,1172.8,162.0,191.5,155.6,187.5,141.3,2.686,8.667,43.0,42.49,43.03,0.0
2017-11-01 00:01:58,3.56709,19.775,24.65,1.99,21.84,248,14320,29.281,133,6904,70.07,2272,227.9,227.9,227.8,227.8,1.589,0.3917,0.3885,148.2,0.3761,0.3724,272,192.8,1172.4,162.5,191.8,155.2,187.0,141.3,2.664,8.667,43.0,42.62,43.03,0.0
2017-11-01 00:02:08,3.59559,19.746,24.65,1.99,21.84,247,14377,29.205,131,6880,69.83,2271,228.0,228.0,227.9,227.9,1.589,0.3916,0.3883,147.9,0.3759,0.3721,271,192.8,1172.4,163.4,192.4,154.9,186.7,141.5,2.674,8.667,43.0,42.71,43.03,0.0
2017-11-01 00:02:18,3.57481,19.853,24.65,2.0,21.84,248,14299,29.29,133,6899,70.03,2270,227.9,227.9,227.9,227.9,1.59,0.3912,0.3879,147.6,0.3755,0.3717,272,192.8,1172.1,164.6,193.3,154.9,186.8,141.9,2.653,8.667,43.0,42.81,43.03,0.0
2017-11-01 00:02:28,3.58232,19.858,24.65,2.0,21.84,248,14353,29.254,132,6890,69.93,2271,227.8,227.8,227.8,227.8,1.593,0.3908,0.3876,147.3,0.3751,0.3714,272,192.8,1171.9,166.0,194.6,155.2,187.2,142.4,2.651,8.667,43.0,42.98,43.03,0.0
2017-11-01 00:02:38,3.58178,19.901,24.62,2.0,21.84,248,14365,29.303,133,6902,70.06,2271,227.8,227.8,227.8,227.8,1.593,0.3907,0.3874,147.2,0.375,0.3713,272,192.7,1171.9,167.5,196.1,155.7,187.7,143.1,2.642,8.667,43.0,43.13,43.03,0.0
2017-11-01 00:02:48,3.58369,19.79,24.59,2.01,21.84,247,14291,29.152,131,6872,69.75,2269,227.7,227.7,227.7,227.7,1.595,0.3905,0.3873,147.3,0.375,0.3713,271,192.7,1171.7,169.3,197.8,156.2,188.5,144.0,2.662,8.667,43.0,43.27,43.03,0.0
